"NRSV","Original"
"Gen.11:31","Gen.11:31"
"Gen.11:32","Gen.11:32"
"Gen.12:1","Gen.12:1"
"Gen.12:2","Gen.12:2"
"Gen.12:3","Gen.12:3"
"Gen.12:4","Gen.12:4"
"Gen.12:5","Gen.12:5"
"Gen.12:6","Gen.12:6"
"Gen.12:7","Gen.12:7"
"Gen.12:8","Gen.12:8"
"Gen.12:9","Gen.12:9"
"Gen.12:10","Gen.12:10"
"Gen.12:11","Gen.12:11"
"Gen.12:12","Gen.12:12"
"Gen.12:13","Gen.12:13"
"Gen.12:14","Gen.12:14"
"Gen.12:15","Gen.12:15"
"Gen.12:16","Gen.12:16"
"Gen.12:17","Gen.12:17"
"Gen.12:18","Gen.12:18"
"Gen.12:19","Gen.12:19"
"Gen.12:20","Gen.12:20"
"Gen.13:1","Gen.13:1"
"Gen.13:2","Gen.13:2"
"Gen.13:3","Gen.13:3"
"Gen.13:4","Gen.13:4"
"Gen.13:5","Gen.13:5"
"Gen.13:6","Gen.13:6"
"Gen.13:7","Gen.13:7"
"Gen.13:8","Gen.13:8"
"Gen.13:9","Gen.13:9"
"Gen.13:10","Gen.13:10"
"Gen.13:11","Gen.13:11"
"Gen.13:12","Gen.13:12"
"Gen.13:13","Gen.13:13"
"Gen.13:14","Gen.13:14"
"Gen.13:15","Gen.13:15"
"Gen.13:16","Gen.13:16"
"Gen.13:17","Gen.13:17"
"Gen.13:18","Gen.13:18"
"Gen.14:1","Gen.14:1"
"Gen.14:2","Gen.14:2"
"Gen.14:3","Gen.14:3"
"Gen.14:4","Gen.14:4"
"Gen.14:5","Gen.14:5"
"Gen.14:6","Gen.14:6"
"Gen.14:7","Gen.14:7"
"Gen.14:8","Gen.14:8"
"Gen.14:9","Gen.14:9"
"Gen.14:10","Gen.14:10"
"Gen.14:11","Gen.14:11"
"Gen.14:12","Gen.14:12"
"Gen.14:13","Gen.14:13"
"Gen.14:14","Gen.14:14"
"Gen.14:15","Gen.14:15"
"Gen.14:16","Gen.14:16"
"Gen.14:17","Gen.14:17"
"Gen.14:18","Gen.14:18"
"Gen.14:19","Gen.14:19"
"Gen.14:20","Gen.14:20"
"Gen.14:21","Gen.14:21"
"Gen.14:22","Gen.14:22"
"Gen.14:23","Gen.14:23"
"Gen.14:24","Gen.14:24"
"Gen.15:1","Gen.15:1"
"Gen.15:2","Gen.15:2"
"Gen.15:3","Gen.15:3"
"Gen.15:4","Gen.15:4"
"Gen.15:5","Gen.15:5"
"Gen.15:6","Gen.15:6"
"Gen.15:7","Gen.15:7"
"Gen.15:8","Gen.15:8"
"Gen.15:9","Gen.15:9"
"Gen.15:10","Gen.15:10"
"Gen.15:11","Gen.15:11"
"Gen.15:12","Gen.15:12"
"Gen.15:13","Gen.15:13"
"Gen.15:14","Gen.15:14"
"Gen.15:15","Gen.15:15"
"Gen.15:16","Gen.15:16"
"Gen.15:17","Gen.15:17"
"Gen.15:18","Gen.15:18"
"Gen.15:19","Gen.15:19"
"Gen.15:20","Gen.15:20"
"Gen.15:21","Gen.15:21"
"Gen.16:1","Gen.16:1"
"Gen.16:2","Gen.16:2"
"Gen.16:3","Gen.16:3"
"Gen.16:4","Gen.16:4"
"Gen.16:5","Gen.16:5"
"Gen.16:6","Gen.16:6"
"Gen.16:7","Gen.16:7"
"Gen.16:8","Gen.16:8"
"Gen.16:9","Gen.16:9"
"Gen.16:10","Gen.16:10"
"Gen.16:11","Gen.16:11"
"Gen.16:12","Gen.16:12"
"Gen.16:13","Gen.16:13"
"Gen.16:14","Gen.16:14"
"Gen.16:15","Gen.16:15"
"Gen.16:16","Gen.16:16"
"Gen.17:1","Gen.17:1"
"Gen.17:2","Gen.17:2"
"Gen.17:3","Gen.17:3"
"Gen.17:4","Gen.17:4"
"Gen.17:5","Gen.17:5"
"Gen.17:6","Gen.17:6"
"Gen.17:7","Gen.17:7"
"Gen.17:8","Gen.17:8"
"Gen.17:9","Gen.17:9"
"Gen.17:10","Gen.17:10"
"Gen.17:11","Gen.17:11"
"Gen.17:12","Gen.17:12"
"Gen.17:13","Gen.17:13"
"Gen.17:14","Gen.17:14"
"Gen.17:15","Gen.17:15"
"Gen.17:16","Gen.17:16"
"Gen.17:17","Gen.17:17"
"Gen.17:18","Gen.17:18"
"Gen.17:19","Gen.17:19"
"Gen.17:20","Gen.17:20"
"Gen.17:21","Gen.17:21"
"Gen.17:22","Gen.17:22"
"Gen.17:23","Gen.17:23"
"Gen.17:24","Gen.17:24"
"Gen.17:25","Gen.17:25"
"Gen.17:26","Gen.17:26"
"Gen.17:27","Gen.17:27"
"Gen.18:1","Gen.18:1"
"Gen.18:2","Gen.18:2"
"Gen.18:3","Gen.18:3"
"Gen.18:4","Gen.18:4"
"Gen.18:5","Gen.18:5"
"Gen.18:6","Gen.18:6"
"Gen.18:7","Gen.18:7"
"Gen.18:8","Gen.18:8"
"Gen.18:9","Gen.18:9"
"Gen.18:10","Gen.18:10"
"Gen.18:11","Gen.18:11"
"Gen.18:12","Gen.18:12"
"Gen.18:13","Gen.18:13"
"Gen.18:14","Gen.18:14"
"Gen.18:15","Gen.18:15"
"Gen.18:16","Gen.18:16"
"Gen.18:17","Gen.18:17"
"Gen.18:18","Gen.18:18"
"Gen.18:19","Gen.18:19"
"Gen.18:20","Gen.18:20"
"Gen.18:21","Gen.18:21"
"Gen.18:22","Gen.18:22"
"Gen.18:23","Gen.18:23"
"Gen.18:24","Gen.18:24"
"Gen.18:25","Gen.18:25"
"Gen.18:26","Gen.18:26"
"Gen.18:27","Gen.18:27"
"Gen.18:28","Gen.18:28"
"Gen.18:29","Gen.18:29"
"Gen.18:30","Gen.18:30"
"Gen.18:31","Gen.18:31"
"Gen.18:32","Gen.18:32"
"Gen.18:33","Gen.18:33"
"Gen.19:1","Gen.19:1"
"Gen.19:2","Gen.19:2"
"Gen.19:3","Gen.19:3"
"Gen.19:4","Gen.19:4"
"Gen.19:5","Gen.19:5"
"Gen.19:6","Gen.19:6"
